{'loss': 0.2033, 'grad_norm': 2.226389169692993, 'learning_rate': 3.4404000000000005e-05, 'epoch': 1.56}
{'loss': 0.2027, 'grad_norm': 1.3849263191223145, 'learning_rate': 3.4324e-05, 'epoch': 1.57}
{'loss': 0.1948, 'grad_norm': 1.1963666677474976, 'learning_rate': 3.4244000000000006e-05, 'epoch': 1.58}
{'loss': 0.1854, 'grad_norm': 1.2779093980789185, 'learning_rate': 3.4164e-05, 'epoch': 1.58}
{'loss': 0.2173, 'grad_norm': 1.1691592931747437, 'learning_rate': 3.4084e-05, 'epoch': 1.59}
{'loss': 0.2149, 'grad_norm': 1.22503662109375, 'learning_rate': 3.4004e-05, 'epoch': 1.6}
{'loss': 0.2157, 'grad_norm': 1.543001651763916, 'learning_rate': 3.3924e-05, 'epoch': 1.61}
{'loss': 0.2187, 'grad_norm': 1.4965869188308716, 'learning_rate': 3.3844e-05, 'epoch': 1.62}
{'loss': 0.2227, 'grad_norm': 2.1208910942077637, 'learning_rate': 3.3764000000000004e-05, 'epoch': 1.62}
{'loss': 0.2118, 'grad_norm': 1.0703078508377075, 'learning_rate': 3.3684e-05, 'epoch': 1.63}
{'loss': 0.1841, 'grad_norm': 2.060634136199951, 'learning_rate': 3.3604e-05, 'epoch': 1.64}
{'loss': 0.193, 'grad_norm': 1.228333592414856, 'learning_rate': 3.3524e-05, 'epoch': 1.65}
{'loss': 0.2143, 'grad_norm': 1.1726610660552979, 'learning_rate': 3.3444e-05, 'epoch': 1.66}
{'loss': 0.2138, 'grad_norm': 1.7327669858932495, 'learning_rate': 3.3364e-05, 'epoch': 1.66}
{'loss': 0.1942, 'grad_norm': 1.2770425081253052, 'learning_rate': 3.3284e-05, 'epoch': 1.67}
{'loss': 0.2192, 'grad_norm': 0.8951437473297119, 'learning_rate': 3.3204e-05, 'epoch': 1.68}
{'loss': 0.2085, 'grad_norm': 1.7010048627853394, 'learning_rate': 3.3123999999999997e-05, 'epoch': 1.69}
{'loss': 0.237, 'grad_norm': 1.5875389575958252, 'learning_rate': 3.3044000000000004e-05, 'epoch': 1.7}
{'loss': 0.2222, 'grad_norm': 1.5151748657226562, 'learning_rate': 3.2964e-05, 'epoch': 1.7}
{'loss': 0.1845, 'grad_norm': 1.3675111532211304, 'learning_rate': 3.2884000000000006e-05, 'epoch': 1.71}
{'loss': 0.2115, 'grad_norm': 0.8508538603782654, 'learning_rate': 3.2804e-05, 'epoch': 1.72}
{'loss': 0.1725, 'grad_norm': 0.9628840684890747, 'learning_rate': 3.2724e-05, 'epoch': 1.73}
{'loss': 0.1843, 'grad_norm': 1.369606852531433, 'learning_rate': 3.2644e-05, 'epoch': 1.74}
